# FINAL MASTER VIDEO DATE ANALYSIS WITH ALL LOCATIONS
# ==================================================
# Comprehensive date and location assignments for all home videos
# Sorted by date ascending (oldest to newest)
#
# Status: 174/174 videos with dates (100% COMPLETE!)
# Status: 50+ videos with locations assigned
# 
# Location Key:
# - DIDI House: 42.787525788141004, -71.07535582257516 (Haverhill, MA)
# - My House: 42.77194830789155, -71.06556354504819 (Haverhill, MA)
# - Sandown House: 42.957851765901516, -71.16802291579994 (Sandown, NH)
#
# Columns:
# - FILENAME: Video filename
# - FINAL DATE: Assigned date (YYYY-MM-DD)
# - CONFIDENCE: Quality of date assignment
# - LOCATION: City, State (with house designation)
# - GPS COORDINATES: Latitude, Longitude
# - SOURCE: How date was determined
# - NOTES: Additional information
#
================================================================================================================================
FILENAME                                                     | FINAL DATE      | CONFIDENCE | LOCATION                      | GPS COORDINATES                    | SOURCE              | NOTES
================================================================================================================================
Dezazzo old reel 10.mp4                                      | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 11.mp4                                      | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 1.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 2.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 3.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 4.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 5.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 6.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 7.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 8.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Dezazzo old reel 9.mp4                                       | 1955-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Chooljian old reels 8mm (1_3).mp4                            | 1967-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Chooljian old reels 8mm (2_3).mp4                            | 1967-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Chooljian old reels 8mm (3_3).mp4                            | 1967-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Morning - Live w_ Diane and Dottie (1_2).mp4                 | 1984-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
Morning - Live w_ Diane and Dottie (2_2).mp4                 | 1984-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
BBQ Grandma Dorothy 1986 & First Birthday 1987.mp4           | 1986-07-15      | MEDIUM     | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Year found, date estimated
First Bday Continued.mp4                                     | 1986-07-15      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Era-based guess
1989 David and I.mp4                                         | 1989-01-01      | MEDIUM     | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Year found, date estimated
1989 David Baptism.mp4                                       | 1989-06-01      | MEDIUM     | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Year found, date estimated
Halloween 89 w_Sturtevants.mp4                               | 1989-10-31      | LOW        | Exeter, NH                    |                                    | Filename pattern    | Era-based guess
Fish Tale Diner - Christmas 1989.mp4                         | 1989-12-25      | HIGH       | Salisbury, MA                 | 42.8168617828771, -70.8708180203117 | Filename pattern    | Year + holiday/event
Xmas Eve & Xmas 1989.mp4                                     | 1989-12-25      | HIGH       | Lawrence, MA                  | 42.71529189407338, -71.14222435424018 | Filename pattern    | Year + holiday/event
